policy_id,insurance_price,minimal_payout,maximal_payout,duration_of_policy
981681,50,5000,402242,251
281764,350,35000,189540,238
638831,100,10000,421105,343
628658,150,15000,276746,120
435872,50,5000,247879,192
595055,200,20000,277418,197
240778,350,35000,200317,256
435228,100,10000,438690,66
786634,50,5000,188083,197
432838,150,15000,105688,35
833554,100,10000,158324,314
415650,200,20000,342755,217
760561,200,20000,390005,364
182995,50,5000,109550,196
311936,150,15000,482519,179
770677,200,20000,131955,86
578055,150,15000,454216,221
682488,100,10000,175706,179
644710,150,15000,232727,228
315204,50,5000,113671,15
661599,100,10000,276659,80
634934,150,15000,275801,129
838089,350,35000,239643,271
269374,150,15000,172936,219
746854,50,5000,158439,41
209641,350,35000,428052,190
412114,50,5000,363174,50
589075,100,10000,420315,64
903797,200,20000,319439,120
348402,100,10000,269333,275
486947,50,5000,379224,126
500833,350,35000,174032,89
794111,150,15000,493408,4
184524,150,15000,464034,293
214329,350,35000,267529,186
685810,150,15000,309563,355
699029,150,15000,140451,51
742083,50,5000,341896,350
120939,350,35000,340087,4
373953,50,5000,243493,277
115098,50,5000,403908,42
872352,100,10000,309562,8
930119,200,20000,132686,78
839485,200,20000,315793,44
441992,50,5000,407206,112
266202,350,35000,468724,222
697195,50,5000,229149,67
889489,150,15000,438122,334
476754,200,20000,418959,264
154231,50,5000,259821,133
121206,150,15000,224322,222
609699,350,35000,320835,354
776319,350,35000,234147,35
927677,200,20000,189601,44
197009,350,35000,151105,92
890162,50,5000,385420,149
134487,350,35000,271718,353
679715,350,35000,289743,46
910552,350,35000,310414,358
661510,350,35000,393978,23
975349,50,5000,362672,60
414063,150,15000,275146,188
680586,50,5000,257932,352
356440,200,20000,146236,309
572917,200,20000,355075,130
329693,150,15000,372464,357
624626,150,15000,391833,20
776287,200,20000,219254,346
473010,350,35000,239432,11
527701,50,5000,245571,8
723636,100,10000,285130,337
901308,100,10000,319623,63
455989,150,15000,122551,86
801300,150,15000,202053,189
674589,100,10000,450007,196
196918,150,15000,198292,144
234728,200,20000,160677,96
443015,100,10000,143864,45
881840,50,5000,169966,362
197283,350,35000,274081,365
201934,150,15000,439879,115
368362,100,10000,368805,264
234208,200,20000,473328,234
213848,150,15000,200783,141
676950,200,20000,497036,74
878040,150,15000,399149,218
510730,350,35000,413811,353
710477,100,10000,307146,288
542396,200,20000,408305,343
128963,150,15000,222779,11
920307,100,10000,403568,49
362474,50,5000,337991,112
277136,350,35000,188704,258
832625,50,5000,302267,10
435203,350,35000,156524,271
575498,350,35000,332287,34
344126,350,35000,416874,344
406499,350,35000,140116,320
306046,150,15000,279716,256
758170,150,15000,121525,188
637503,100,10000,396949,343
871261,100,10000,381025,317
728379,350,35000,221579,16
